# Object: Earth
# Columns: time(s), |A(t)|(m/s^2), frequency(Hz), A1, A2, A3
time,acceleration,frequency,A1,A2,A3
0.00000,4906.64500,180.00000,0.35000,0.35000,0.35000
0.01592,2378.61200,180.00000,0.35000,0.35000,0.35000
0.04865,16.59991,180.00000,0.35000,0.35000,0.35000
0.07626,11.01546,180.00000,0.35000,0.35000,0.35000
0.10200,11.90898,180.00000,0.35000,0.35000,0.35000
0.12554,13.96253,180.00000,0.35000,0.35000,0.35000
0.14925,2.31399,136.14690,0.15814,0.15814,0.15814
0.17154,5.83617,180.00000,0.35000,0.35000,0.35000
0.21333,5.94543,180.00000,0.35000,0.35000,0.35000
0.24161,6.16646,180.00000,0.35000,0.35000,0.35000
0.26678,11.71861,180.00000,0.35000,0.35000,0.35000
0.28884,17.94907,180.00000,0.35000,0.35000,0.35000
0.31323,21.33353,180.00000,0.35000,0.35000,0.35000
0.33612,24.03484,180.00000,0.35000,0.35000,0.35000
0.36591,20.54716,180.00000,0.35000,0.35000,0.35000
0.40225,33.65598,180.00000,0.35000,0.35000,0.35000
0.42694,42.84685,180.00000,0.35000,0.35000,0.35000
0.45021,46.47919,180.00000,0.35000,0.35000,0.35000
0.47298,45.54644,180.00000,0.35000,0.35000,0.35000
0.49679,4.61399,173.69780,0.32243,0.32243,0.32243
0.52106,32.52044,180.00000,0.35000,0.35000,0.35000
0.55100,46.67705,180.00000,0.35000,0.35000,0.35000
0.57519,79.11189,180.00000,0.35000,0.35000,0.35000
0.59983,41.57567,180.00000,0.35000,0.35000,0.35000
0.62440,38.51275,180.00000,0.35000,0.35000,0.35000
0.64852,69.95485,180.00000,0.35000,0.35000,0.35000
0.67082,82.50275,180.00000,0.35000,0.35000,0.35000
0.69543,17.04478,180.00000,0.35000,0.35000,0.35000
0.73215,5.02860,180.00000,0.35000,0.35000,0.35000
0.75830,5.71173,180.00000,0.35000,0.35000,0.35000
0.78111,20.53708,180.00000,0.35000,0.35000,0.35000
0.80474,3.07098,148.50570,0.21221,0.21221,0.21221
0.84131,14.08517,180.00000,0.35000,0.35000,0.35000
0.86767,22.04077,180.00000,0.35000,0.35000,0.35000
0.89134,3.45402,154.75950,0.23957,0.23957,0.23957
0.91407,9.88475,180.00000,0.35000,0.35000,0.35000
0.93772,5.45329,180.00000,0.35000,0.35000,0.35000
0.96061,3.93337,162.58560,0.27381,0.27381,0.27381
0.98486,7.59731,180.00000,0.35000,0.35000,0.35000
1.00835,9.23591,180.00000,0.35000,0.35000,0.35000
1.03475,12.32076,180.00000,0.35000,0.35000,0.35000
