# Object: Jupiter
# Columns: time(s), |A(t)|(m/s^2), frequency(Hz), A1, A2, A3
time,acceleration,frequency,A1,A2,A3
0.00000,35.20707,180.00000,1.00000,1.00000,1.00000
0.01510,16.68985,180.00000,1.00000,1.00000,1.00000
0.04004,5.11228,180.00000,1.00000,1.00000,1.00000
0.06879,7.61106,180.00000,1.00000,1.00000,1.00000
0.10472,10.47793,180.00000,1.00000,1.00000,1.00000
0.13270,13.10667,180.00000,1.00000,1.00000,1.00000
0.15610,30.49096,180.00000,1.00000,1.00000,1.00000
0.18024,19.84867,180.00000,1.00000,1.00000,1.00000
0.20470,7.03924,180.00000,1.00000,1.00000,1.00000
0.23041,10.08477,180.00000,1.00000,1.00000,1.00000
0.25348,5.30326,180.00000,1.00000,1.00000,1.00000
0.29726,3.83501,161.36020,0.76700,0.76700,0.76700
0.33802,6.10266,180.00000,1.00000,1.00000,1.00000
0.36268,13.73210,180.00000,1.00000,1.00000,1.00000
0.38687,19.04674,180.00000,1.00000,1.00000,1.00000
0.41061,14.59647,180.00000,1.00000,1.00000,1.00000
0.43649,14.01761,180.00000,1.00000,1.00000,1.00000
0.45984,26.42343,180.00000,1.00000,1.00000,1.00000
0.48259,27.03517,180.00000,1.00000,1.00000,1.00000
0.50581,8.28831,180.00000,1.00000,1.00000,1.00000
0.52824,26.33137,180.00000,1.00000,1.00000,1.00000
0.55224,11.92880,180.00000,1.00000,1.00000,1.00000
0.57660,27.43797,180.00000,1.00000,1.00000,1.00000
0.60576,26.86991,180.00000,1.00000,1.00000,1.00000
0.63134,18.75134,180.00000,1.00000,1.00000,1.00000
0.65700,8.32673,180.00000,1.00000,1.00000,1.00000
0.68048,12.84859,180.00000,1.00000,1.00000,1.00000
0.70444,14.22015,180.00000,1.00000,1.00000,1.00000
0.72770,2.15222,134.43550,0.43044,0.43044,0.43044
0.75017,1.30782,120.92520,0.26156,0.26156,0.26156
0.77233,6.51313,180.00000,1.00000,1.00000,1.00000
0.80860,4.45468,171.27490,0.89094,0.89094,0.89094
0.83543,9.64685,180.00000,1.00000,1.00000,1.00000
0.86216,16.68022,180.00000,1.00000,1.00000,1.00000
0.88582,11.73985,180.00000,1.00000,1.00000,1.00000
0.90868,1.71597,127.45540,0.34319,0.34319,0.34319
0.93079,5.62159,180.00000,1.00000,1.00000,1.00000
0.95649,7.48728,180.00000,1.00000,1.00000,1.00000
0.97923,12.70725,180.00000,1.00000,1.00000,1.00000
1.00227,14.09653,180.00000,1.00000,1.00000,1.00000
1.02625,1.77729,128.43670,0.35546,0.35546,0.35546
1.04974,8.62497,180.00000,1.00000,1.00000,1.00000
1.07500,9.15851,180.00000,1.00000,1.00000,1.00000
1.09842,8.61663,180.00000,1.00000,1.00000,1.00000
1.12870,3.62098,157.93570,0.72420,0.72420,0.72420
1.15487,5.83230,180.00000,1.00000,1.00000,1.00000
1.17709,1.71349,127.41590,0.34270,0.34270,0.34270
1.20002,1.80457,128.87300,0.36091,0.36091,0.36091
1.22279,3.97726,163.63620,0.79545,0.79545,0.79545
1.24372,11.35859,180.00000,1.00000,1.00000,1.00000
1.26605,16.28232,180.00000,1.00000,1.00000,1.00000
1.29074,4.64223,174.27570,0.92845,0.92845,0.92845
1.32556,5.73037,180.00000,1.00000,1.00000,1.00000
1.35002,10.28276,180.00000,1.00000,1.00000,1.00000
1.37320,3.14588,150.33410,0.62918,0.62918,0.62918
1.39496,1.54778,124.76450,0.30956,0.30956,0.30956
1.41713,2.12470,133.99520,0.42494,0.42494,0.42494
1.43846,14.51309,180.00000,1.00000,1.00000,1.00000
1.46000,16.97156,180.00000,1.00000,1.00000,1.00000
1.48324,1.32716,121.23460,0.26543,0.26543,0.26543
1.51299,2.21875,135.49990,0.44375,0.44375,0.44375
1.54768,6.70884,180.00000,1.00000,1.00000,1.00000
1.57171,11.07475,180.00000,1.00000,1.00000,1.00000
1.59488,0.87087,113.93400,0.17417,0.17417,0.17417
