# Object: Mars
# Columns: time(s), |A(t)|(m/s^2), frequency(Hz), A1, A2, A3
time,acceleration,frequency,A1,A2,A3
0.00000,9348.46500,180.00000,0.20000,0.20000,0.20000
0.02022,8968.85200,180.00000,0.20000,0.20000,0.20000
0.04129,8.70208,180.00000,0.20000,0.20000,0.20000
0.06266,18.93424,180.00000,0.20000,0.20000,0.20000
0.08142,17.08103,180.00000,0.20000,0.20000,0.20000
0.09873,10.76030,180.00000,0.20000,0.20000,0.20000
0.12709,15.75806,180.00000,0.20000,0.20000,0.20000
0.14591,3.30926,152.94810,0.20000,0.20000,0.20000
0.16609,2.16355,134.61690,0.20000,0.20000,0.20000
0.18319,17.22433,180.00000,0.20000,0.20000,0.20000
0.20196,17.25020,180.00000,0.20000,0.20000,0.20000
0.21858,4.08536,165.36570,0.20000,0.20000,0.20000
0.23527,8.74706,180.00000,0.20000,0.20000,0.20000
0.25100,5.85776,180.00000,0.20000,0.20000,0.20000
0.27031,3.66250,158.59990,0.20000,0.20000,0.20000
0.28709,4.64437,174.30990,0.20000,0.20000,0.20000
0.30501,3.48952,155.83230,0.20000,0.20000,0.20000
0.32125,5.09485,180.00000,0.20000,0.20000,0.20000
0.33984,9.72103,180.00000,0.20000,0.20000,0.20000
0.35602,7.00055,180.00000,0.20000,0.20000,0.20000
0.37476,2.73074,143.69190,0.20000,0.20000,0.20000
0.39084,5.64234,180.00000,0.20000,0.20000,0.20000
0.41003,8.78163,180.00000,0.20000,0.20000,0.20000
0.42642,7.37364,180.00000,0.20000,0.20000,0.20000
0.44394,8.29494,180.00000,0.20000,0.20000,0.20000
0.45953,16.54423,180.00000,0.20000,0.20000,0.20000
0.47606,7.62882,180.00000,0.20000,0.20000,0.20000
0.49298,6.26916,180.00000,0.20000,0.20000,0.20000
0.50900,12.23686,180.00000,0.20000,0.20000,0.20000
0.52724,19.92518,180.00000,0.20000,0.20000,0.20000
0.54375,13.68187,180.00000,0.20000,0.20000,0.20000
0.56216,9.82130,180.00000,0.20000,0.20000,0.20000
0.57893,14.37654,180.00000,0.20000,0.20000,0.20000
0.59673,13.99772,180.00000,0.20000,0.20000,0.20000
0.61490,11.47663,180.00000,0.20000,0.20000,0.20000
0.64452,11.66987,180.00000,0.20000,0.20000,0.20000
0.66259,3.86118,161.77890,0.20000,0.20000,0.20000
0.67988,20.56653,180.00000,0.20000,0.20000,0.20000
0.69649,20.33005,180.00000,0.20000,0.20000,0.20000
0.71376,27.11937,180.00000,0.20000,0.20000,0.20000
0.73044,23.62236,180.00000,0.20000,0.20000,0.20000
0.74739,16.00062,180.00000,0.20000,0.20000,0.20000
0.76576,16.09656,180.00000,0.20000,0.20000,0.20000
0.78321,22.61625,180.00000,0.20000,0.20000,0.20000
0.79979,23.61501,180.00000,0.20000,0.20000,0.20000
0.81923,28.10063,180.00000,0.20000,0.20000,0.20000
0.83684,27.06121,180.00000,0.20000,0.20000,0.20000
0.85490,31.33852,180.00000,0.20000,0.20000,0.20000
0.87155,14.11094,180.00000,0.20000,0.20000,0.20000
0.89000,9.10908,180.00000,0.20000,0.20000,0.20000
0.90678,11.01153,180.00000,0.20000,0.20000,0.20000
0.92495,9.59454,180.00000,0.20000,0.20000,0.20000
0.94258,4.14357,166.29720,0.20000,0.20000,0.20000
0.96085,13.75080,180.00000,0.20000,0.20000,0.20000
0.97820,5.66260,180.00000,0.20000,0.20000,0.20000
0.99541,11.18406,180.00000,0.20000,0.20000,0.20000
1.01266,13.14917,180.00000,0.20000,0.20000,0.20000
1.03276,4.32092,169.13470,0.20000,0.20000,0.20000
1.05040,6.32701,180.00000,0.20000,0.20000,0.20000
1.06842,13.50525,180.00000,0.20000,0.20000,0.20000
1.09028,6.74934,180.00000,0.20000,0.20000,0.20000
1.10804,6.56826,180.00000,0.20000,0.20000,0.20000
1.12700,5.47294,180.00000,0.20000,0.20000,0.20000
1.15742,10.18077,180.00000,0.20000,0.20000,0.20000
1.17669,4.86199,177.79180,0.20000,0.20000,0.20000
1.19455,6.59404,180.00000,0.20000,0.20000,0.20000
