# Object: Mercury
# Columns: time(s), |A(t)|(m/s^2), frequency(Hz), A1, A2, A3
time,acceleration,frequency,A1,A2,A3
0.00000,8790.13600,180.00000,0.10000,0.10000,0.10000
0.02168,4452.14500,180.00000,0.10000,0.10000,0.10000
0.06450,2.34684,136.68300,0.04585,0.04585,0.04585
0.08758,8.94655,180.00000,0.10000,0.10000,0.10000
0.10734,8.58038,180.00000,0.10000,0.10000,0.10000
0.12574,9.91725,180.00000,0.10000,0.10000,0.10000
0.14379,13.65433,180.00000,0.10000,0.10000,0.10000
0.16029,5.08309,180.00000,0.10000,0.10000,0.10000
0.18527,3.09514,148.90030,0.06113,0.06113,0.06113
0.21399,5.72138,180.00000,0.10000,0.10000,0.10000
0.23387,4.91202,178.56370,0.09820,0.09820,0.09820
0.24981,10.59122,180.00000,0.10000,0.10000,0.10000
0.26486,15.80991,180.00000,0.10000,0.10000,0.10000
0.28079,5.40938,180.00000,0.10000,0.10000,0.10000
0.29837,2.95761,146.65480,0.05832,0.05832,0.05832
0.31519,3.19811,150.58140,0.06323,0.06323,0.06323
0.34187,4.50827,171.97170,0.08996,0.08996,0.08996
0.36975,1.76734,127.22190,0.03403,0.03403,0.03403
0.38732,5.98834,180.00000,0.10000,0.10000,0.10000
0.40495,7.99494,180.00000,0.10000,0.10000,0.10000
0.42043,12.63572,180.00000,0.10000,0.10000,0.10000
0.43697,9.82955,180.00000,0.10000,0.10000,0.10000
0.45186,8.14332,180.00000,0.10000,0.10000,0.10000
0.46743,1.04563,115.43890,0.01930,0.01930,0.01930
0.48566,5.84341,180.00000,0.10000,0.10000,0.10000
0.51207,12.85819,180.00000,0.10000,0.10000,0.10000
0.53836,5.62771,180.00000,0.10000,0.10000,0.10000
0.56959,5.06651,180.00000,0.10000,0.10000,0.10000
0.59261,7.20844,180.00000,0.10000,0.10000,0.10000
0.62530,25.49020,180.00000,0.10000,0.10000,0.10000
0.65513,25.41661,180.00000,0.10000,0.10000,0.10000
0.67364,10.65539,180.00000,0.10000,0.10000,0.10000
0.70150,60.01192,180.00000,0.10000,0.10000,0.10000
0.71958,68.65913,180.00000,0.10000,0.10000,0.10000
0.73720,21.44208,180.00000,0.10000,0.10000,0.10000
0.76188,55.08656,180.00000,0.10000,0.10000,0.10000
0.77997,36.03606,180.00000,0.10000,0.10000,0.10000
0.80970,56.24741,180.00000,0.10000,0.10000,0.10000
0.82988,32.62681,180.00000,0.10000,0.10000,0.10000
0.85639,7.02492,180.00000,0.10000,0.10000,0.10000
0.87395,39.38335,180.00000,0.10000,0.10000,0.10000
0.89070,21.58830,180.00000,0.10000,0.10000,0.10000
0.91671,63.69395,180.00000,0.10000,0.10000,0.10000
0.93462,47.02069,180.00000,0.10000,0.10000,0.10000
0.96349,59.21535,180.00000,0.10000,0.10000,0.10000
0.98288,43.48799,180.00000,0.10000,0.10000,0.10000
1.01103,61.32256,180.00000,0.10000,0.10000,0.10000
1.02957,44.03325,180.00000,0.10000,0.10000,0.10000
1.05687,23.14607,180.00000,0.10000,0.10000,0.10000
1.08762,29.89038,180.00000,0.10000,0.10000,0.10000
1.11568,86.12008,180.00000,0.10000,0.10000,0.10000
1.13361,50.84177,180.00000,0.10000,0.10000,0.10000
1.16070,23.04146,180.00000,0.10000,0.10000,0.10000
1.17847,17.84721,180.00000,0.10000,0.10000,0.10000
1.20377,27.17642,180.00000,0.10000,0.10000,0.10000
1.22348,21.82577,180.00000,0.10000,0.10000,0.10000
1.24852,27.92722,180.00000,0.10000,0.10000,0.10000
