# Object: Saturn
# Columns: time(s), |A(t)|(m/s^2), frequency(Hz), A1, A2, A3
time,acceleration,frequency,A1,A2,A3
0.00000,298.99440,180.00000,0.80000,0.80000,0.80000
0.01454,127.34710,180.00000,0.80000,0.80000,0.80000
0.04622,7.26364,180.00000,0.80000,0.80000,0.80000
0.07317,19.43636,180.00000,0.80000,0.80000,0.80000
0.09799,17.15448,180.00000,0.80000,0.80000,0.80000
0.12078,12.18627,180.00000,0.80000,0.80000,0.80000
0.14463,3.67645,158.39110,0.58391,0.58391,0.58391
0.16973,5.32703,180.00000,0.80000,0.80000,0.80000
0.19509,5.91656,180.00000,0.80000,0.80000,0.80000
0.23003,4.06532,164.74000,0.64740,0.64740,0.64740
0.25301,12.91513,180.00000,0.80000,0.80000,0.80000
0.27654,7.78446,180.00000,0.80000,0.80000,0.80000
0.29862,10.96552,180.00000,0.80000,0.80000,0.80000
0.31915,14.45710,180.00000,0.80000,0.80000,0.80000
0.34090,4.82397,177.12600,0.77126,0.77126,0.77126
0.36321,44.37856,180.00000,0.80000,0.80000,0.80000
0.38632,33.64471,180.00000,0.80000,0.80000,0.80000
0.41205,16.57605,180.00000,0.80000,0.80000,0.80000
0.43438,14.69387,180.00000,0.80000,0.80000,0.80000
0.45741,14.84429,180.00000,0.80000,0.80000,0.80000
0.48002,36.50434,180.00000,0.80000,0.80000,0.80000
0.50138,40.35735,180.00000,0.80000,0.80000,0.80000
0.52316,27.60342,180.00000,0.80000,0.80000,0.80000
0.55213,13.52577,180.00000,0.80000,0.80000,0.80000
0.57695,50.37028,180.00000,0.80000,0.80000,0.80000
0.59974,50.75322,180.00000,0.80000,0.80000,0.80000
0.62458,42.84987,180.00000,0.80000,0.80000,0.80000
0.64937,13.55722,180.00000,0.80000,0.80000,0.80000
0.67435,30.72523,180.00000,0.80000,0.80000,0.80000
0.69787,10.96498,180.00000,0.80000,0.80000,0.80000
0.73610,12.29679,180.00000,0.80000,0.80000,0.80000
0.76154,3.62847,157.60770,0.57608,0.57608,0.57608
0.78658,12.56710,180.00000,0.80000,0.80000,0.80000
0.80986,9.46035,180.00000,0.80000,0.80000,0.80000
0.83626,3.09783,148.94420,0.48944,0.48944,0.48944
0.86601,4.83114,177.24310,0.77243,0.77243,0.77243
0.90601,8.50082,180.00000,0.80000,0.80000,0.80000
0.93253,8.63092,180.00000,0.80000,0.80000,0.80000
0.95616,12.41854,180.00000,0.80000,0.80000,0.80000
0.98044,18.36953,180.00000,0.80000,0.80000,0.80000
1.00334,17.51090,180.00000,0.80000,0.80000,0.80000
1.02794,9.91404,180.00000,0.80000,0.80000,0.80000
1.06258,9.23006,180.00000,0.80000,0.80000,0.80000
1.08758,7.65445,180.00000,0.80000,0.80000,0.80000
