Time,Value
0,0
0.02,0.01999867
0.1247448,0.1244215
0.1890494,0.1879253
0.2214803,0.219674
0.2573305,0.2544999
0.285187,0.2813369
0.312052,0.3070122
0.3364211,0.3301109
0.3621038,0.3542424
0.386001,0.3764867
0.4104206,0.398995
0.4395905,0.4255689
0.475231,0.4575438
0.5133691,0.4911148
0.5740292,0.5430198
0.6137143,0.5759079
0.6507133,0.6057541
0.6883836,0.6352897
0.7224221,0.6612037
0.7563877,0.6862987
0.7801703,0.7034005
0.8040293,0.7201575
0.8272504,0.736073
0.8502934,0.751474
0.8740663,0.7669446
0.8990533,0.7827381
0.9221912,0.7969272
0.9453356,0.8106935
0.9694599,0.8245803
0.9935989,0.8379952
1.01984,0.8520241
1.065259,0.8749143
1.102602,0.8923846
1.129206,0.9040731
1.153168,0.9140535
1.176094,0.9231112
1.25165,0.9495037
1.291274,0.9611874
1.323611,0.9696051
1.353606,0.9765068
1.38733,0.9832172
1.417784,0.9883164
1.450325,0.9927521
1.481874,0.996049
1.508857,0.9980824
1.537587,0.9994486
1.582573,0.9999307
1.614449,0.9990474
1.646165,0.9971611
1.676242,0.9944457
1.707652,0.9906498
1.734555,0.9866215
1.764862,0.9812284
1.796862,0.9745559
1.832892,0.9658491
1.865986,0.956747
1.897684,0.9470462
1.929824,0.9362389
1.971393,0.9208285
2.002531,0.9082412
2.0334,0.8948934
2.06578,0.8799766
2.11048,0.8578715
2.142276,0.8411017
2.173388,0.8238692
2.202506,0.8070194
2.2333,0.7884546
2.264473,0.7689006
2.297222,0.7475535
2.330134,0.725292
2.358977,0.7051368
2.391445,0.6817468
2.422828,0.6584551
2.455002,0.6339042
2.485681,0.6098823
2.519402,0.5828171
2.548579,0.5588623
2.576127,0.5358088
2.624289,0.4945384
2.657756,0.4651786
2.68912,0.4371911
2.722042,0.4073505
2.752715,0.3791498
2.781405,0.3524497
2.809832,0.3257081
2.85387,0.2837695
2.890925,0.2480511
2.926197,0.2137339
2.95892,0.1816584
2.991747,0.1492856
3.026445,0.114893
3.057782,0.08371288
3.088257,0.05331077
3.137292,0.004300732
3.170263,-0.02866671
3.203093,-0.06146187
