# Object: Venus
# Columns: time(s), |A(t)|(m/s^2), frequency(Hz), A1, A2, A3
time,acceleration,frequency,A1,A2,A3
0.00000,22001.70000,180.00000,0.30000,0.30000,0.30000
0.01372,11840.64000,180.00000,0.30000,0.30000,0.30000
0.03924,4.98429,179.74360,0.29904,0.29904,0.29904
0.08116,23.44679,180.00000,0.30000,0.30000,0.30000
0.10284,51.34088,180.00000,0.30000,0.30000,0.30000
0.12020,49.04224,180.00000,0.30000,0.30000,0.30000
0.13702,15.75654,180.00000,0.30000,0.30000,0.30000
0.15457,44.78080,180.00000,0.30000,0.30000,0.30000
0.17055,31.38836,180.00000,0.30000,0.30000,0.30000
0.18793,18.53953,180.00000,0.30000,0.30000,0.30000
0.21320,25.87341,180.00000,0.30000,0.30000,0.30000
0.23042,21.58333,180.00000,0.30000,0.30000,0.30000
0.24590,21.62268,180.00000,0.30000,0.30000,0.30000
0.26647,33.18494,180.00000,0.30000,0.30000,0.30000
0.28369,35.56365,180.00000,0.30000,0.30000,0.30000
0.30017,1.61448,124.72620,0.09272,0.09272,0.09272
0.31641,19.68471,180.00000,0.30000,0.30000,0.30000
0.33337,12.40101,180.00000,0.30000,0.30000,0.30000
0.35982,3.61064,157.31650,0.21494,0.21494,0.21494
0.39864,1.41895,121.53390,0.08075,0.08075,0.08075
0.41840,12.66489,180.00000,0.30000,0.30000,0.30000
0.43471,5.59501,180.00000,0.30000,0.30000,0.30000
0.45165,11.11714,180.00000,0.30000,0.30000,0.30000
0.46852,9.61038,180.00000,0.30000,0.30000,0.30000
0.48571,10.43779,180.00000,0.30000,0.30000,0.30000
0.50108,11.28954,180.00000,0.30000,0.30000,0.30000
0.51615,5.25620,180.00000,0.30000,0.30000,0.30000
0.54121,24.06432,180.00000,0.30000,0.30000,0.30000
0.55854,21.79520,180.00000,0.30000,0.30000,0.30000
0.57602,2.37699,137.17540,0.13941,0.13941,0.13941
0.60024,23.29761,180.00000,0.30000,0.30000,0.30000
0.61824,26.92067,180.00000,0.30000,0.30000,0.30000
0.63322,2.05024,131.84060,0.11940,0.11940,0.11940
0.65762,12.33997,180.00000,0.30000,0.30000,0.30000
0.67697,9.47471,180.00000,0.30000,0.30000,0.30000
0.70233,14.79302,180.00000,0.30000,0.30000,0.30000
0.71917,8.16014,180.00000,0.30000,0.30000,0.30000
0.73568,5.35613,180.00000,0.30000,0.30000,0.30000
0.75945,12.53892,180.00000,0.30000,0.30000,0.30000
0.77723,32.98569,180.00000,0.30000,0.30000,0.30000
0.79379,21.28712,180.00000,0.30000,0.30000,0.30000
0.81698,37.46066,180.00000,0.30000,0.30000,0.30000
0.83426,18.15045,180.00000,0.30000,0.30000,0.30000
0.86228,2.64278,141.51480,0.15568,0.15568,0.15568
0.89338,7.01981,180.00000,0.30000,0.30000,0.30000
0.92643,20.47370,180.00000,0.30000,0.30000,0.30000
0.95521,19.74188,180.00000,0.30000,0.30000,0.30000
0.98085,52.82397,180.00000,0.30000,0.30000,0.30000
0.99735,38.10325,180.00000,0.30000,0.30000,0.30000
1.02209,15.23859,180.00000,0.30000,0.30000,0.30000
1.04663,23.75261,180.00000,0.30000,0.30000,0.30000
1.06426,24.43566,180.00000,0.30000,0.30000,0.30000
1.08622,2.37111,137.07940,0.13905,0.13905,0.13905
1.11169,39.83755,180.00000,0.30000,0.30000,0.30000
1.12848,25.49377,180.00000,0.30000,0.30000,0.30000
1.14540,18.15039,180.00000,0.30000,0.30000,0.30000
1.16870,10.32107,180.00000,0.30000,0.30000,0.30000
1.19368,13.64937,180.00000,0.30000,0.30000,0.30000
1.21173,15.76477,180.00000,0.30000,0.30000,0.30000
1.23732,24.02095,180.00000,0.30000,0.30000,0.30000
1.25441,31.03049,180.00000,0.30000,0.30000,0.30000
1.27028,11.39087,180.00000,0.30000,0.30000,0.30000
1.28701,9.36230,180.00000,0.30000,0.30000,0.30000
1.31206,24.38956,180.00000,0.30000,0.30000,0.30000
1.33018,22.84883,180.00000,0.30000,0.30000,0.30000
1.35604,22.69987,180.00000,0.30000,0.30000,0.30000
1.37227,8.13558,180.00000,0.30000,0.30000,0.30000
1.41002,6.84167,180.00000,0.30000,0.30000,0.30000
1.42867,13.29064,180.00000,0.30000,0.30000,0.30000
1.44502,17.49149,180.00000,0.30000,0.30000,0.30000
1.46062,10.81293,180.00000,0.30000,0.30000,0.30000
1.48770,1.43895,121.86050,0.08198,0.08198,0.08198
1.51671,3.00904,147.49450,0.17810,0.17810,0.17810
1.53524,0.13811,100.62230,0.00233,0.00233,0.00233
1.55009,2.43082,138.05410,0.14270,0.14270,0.14270
1.57327,4.05180,164.51920,0.24195,0.24195,0.24195
1.59098,2.84965,144.89230,0.16835,0.16835,0.16835
1.61928,3.22468,151.01510,0.19131,0.19131,0.19131
1.63829,4.73044,175.59900,0.28350,0.28350,0.28350
1.65455,5.81157,180.00000,0.30000,0.30000,0.30000
1.67632,6.65154,180.00000,0.30000,0.30000,0.30000
1.69406,5.22462,180.00000,0.30000,0.30000,0.30000
1.70987,3.69706,158.72760,0.22023,0.22023,0.22023
1.73189,1.23548,118.53840,0.06952,0.06952,0.06952
1.76130,2.58514,140.57370,0.15215,0.15215,0.15215
1.78825,1.53213,123.38180,0.08768,0.08768,0.08768
1.80705,2.46904,138.67810,0.14504,0.14504,0.14504
1.82381,0.91931,113.37650,0.05016,0.05016,0.05016
1.85267,1.28408,119.33200,0.07249,0.07249,0.07249
1.87142,4.11361,165.52830,0.24573,0.24573,0.24573
1.89052,3.74874,159.57130,0.22339,0.22339,0.22339
1.90598,1.23707,118.56430,0.06962,0.06962,0.06962
1.92359,0.83118,111.93760,0.04477,0.04477,0.04477
1.94968,1.15131,117.16430,0.06437,0.06437,0.06437
1.96754,2.15680,133.58050,0.12593,0.12593,0.12593
1.98559,3.03394,147.90100,0.17963,0.17963,0.17963
2.00307,3.28468,151.99480,0.19498,0.19498,0.19498
2.02024,2.14371,133.36670,0.12513,0.12513,0.12513
2.03733,1.35206,120.44170,0.07666,0.07666,0.07666
2.05508,2.21057,134.45830,0.12922,0.12922,0.12922
2.07052,1.10495,116.40730,0.06153,0.06153,0.06153
2.08719,0.87377,112.63300,0.04737,0.04737,0.04737
2.11625,5.39617,180.00000,0.30000,0.30000,0.30000
2.13416,4.40813,170.33680,0.26376,0.26376,0.26376
2.15291,2.49398,139.08540,0.14657,0.14657,0.14657
