Time, SinWave, TriWave, SquareWave, TotalAmplitude
0.020,-0.237,-0.237,-0.661,-0.114
0.040,0.383,0.474,0.661,0.152
0.182,-0.383,-0.475,-0.661,-0.152
0.231,-0.287,-0.300,-0.661,-0.125
0.265,-0.331,-0.363,-0.661,-0.135
0.288,-0.372,-0.444,-0.661,-0.148
0.318,0.353,0.404,0.661,0.142
0.351,0.301,0.318,0.661,0.128
0.386,0.213,0.210,0.661,0.108
0.406,0.320,0.347,0.661,0.133
0.427,-0.181,-0.176,-0.661,-0.102
0.449,-0.378,-0.458,-0.661,-0.150
0.471,-0.403,-0.580,-0.661,-0.164
0.495,0.173,0.167,0.661,0.100
0.526,-0.227,-0.226,-0.661,-0.111
0.559,-0.310,-0.331,-0.661,-0.130
0.581,-0.021,-0.020,-0.661,-0.070
0.601,0.389,0.493,0.661,0.154
0.623,0.183,0.177,0.661,0.102
0.643,-0.391,-0.503,-0.661,-0.156
0.664,-0.071,-0.067,-0.661,-0.080
0.695,0.314,0.337,0.661,0.131
0.718,0.375,0.452,0.661,0.149
0.738,-0.349,-0.396,-0.661,-0.141
0.759,-0.319,-0.345,-0.661,-0.132
0.780,0.273,0.280,0.661,0.121
0.804,-0.403,-0.580,-0.661,-0.164
0.826,-0.362,-0.422,-0.661,-0.145
0.854,-0.377,-0.456,-0.661,-0.149
0.876,-0.369,-0.437,-0.661,-0.147
0.898,-0.127,-0.121,-0.661,-0.091
0.919,0.037,0.035,0.661,0.073
0.940,0.304,0.322,0.661,0.129
0.961,-0.183,-0.178,-0.661,-0.102
0.981,-0.183,-0.178,-0.661,-0.102
1.010,-0.403,-0.586,-0.661,-0.165
1.033,-0.077,-0.073,-0.661,-0.081
1.068,0.344,0.386,0.661,0.139
1.090,0.344,0.386,0.661,0.139
1.115,-0.402,-0.572,-0.661,-0.164
1.138,-0.370,-0.439,-0.661,-0.147
1.170,-0.035,-0.033,-0.661,-0.073
1.194,-0.284,-0.295,-0.661,-0.124
1.215,-0.278,-0.287,-0.661,-0.123
1.236,0.220,0.218,0.661,0.110
1.256,0.309,0.330,0.661,0.130
1.278,0.169,0.164,0.661,0.099
1.300,0.097,0.092,0.661,0.085
1.330,0.250,0.253,0.661,0.116
1.351,0.402,0.573,0.661,0.164
1.373,0.394,0.512,0.661,0.157
1.405,-0.194,-0.190,-0.661,-0.104
1.435,0.332,0.365,0.661,0.136
1.463,0.400,0.549,0.661,0.161
1.501,0.242,0.243,0.661,0.115
1.538,-0.356,-0.408,-0.661,-0.142
1.581,-0.224,-0.222,-0.661,-0.111
1.603,-0.041,-0.038,-0.661,-0.074
1.626,-0.240,-0.241,-0.661,-0.114
1.655,-0.312,-0.335,-0.661,-0.131
1.677,-0.320,-0.347,-0.661,-0.133
1.697,-0.070,-0.066,-0.661,-0.080
1.717,0.250,0.252,0.661,0.116
1.742,0.061,0.057,0.661,0.078
