# Object: Earth
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
0.00000,0.35091,15.07269,0.80179
0.01318,0.13429,15.06266,0.43221
0.02896,0.11914,0.85094,-0.04319
0.04721,0.75649,42.51661,-3.25239
0.06436,0.25863,35.94244,2.24431
0.07882,0.15496,15.64549,0.24833
0.09450,1.13412,86.24808,-8.60725
0.10867,0.60948,32.77846,0.00168
0.12481,0.31027,20.01296,1.59020
0.14014,0.19913,22.27692,1.37046
0.15892,0.33453,28.85249,-2.65481
0.17509,0.92221,40.18365,-1.80861
0.19011,2.94331,129.99750,-11.62263
0.20622,0.16678,154.64670,-15.75657
0.22593,1.39393,91.57960,-8.95453
0.24236,1.29151,19.22199,-0.33307
0.25772,1.05151,17.40399,0.95070
0.27382,0.50997,34.64758,2.91341
0.28956,1.14373,43.62314,-2.62024
0.30442,0.49055,43.00415,-2.70797
0.31988,0.93064,27.77402,-0.32526
0.33642,0.07245,58.31465,4.57311
0.35229,1.54553,96.94368,4.45070
0.36821,0.74445,48.48023,-0.20101
0.38513,0.39280,24.28780,-1.95589
0.40033,0.13863,15.30068,1.15129
0.41714,0.35899,12.87092,1.35897
0.43460,0.10847,21.68561,-2.28552
0.44910,0.11559,4.00742,0.34099
0.46282,0.82879,32.08138,-3.13658
0.48604,0.33345,28.60752,-2.98929
0.50435,0.58106,18.82248,0.01343
0.51986,0.35815,15.97783,1.35344
0.53519,0.43956,9.98298,-0.64941
0.55121,1.29871,62.72826,-5.36191
0.56588,1.35180,4.98453,0.18258
0.58080,1.45277,10.35071,1.07431
0.59548,0.88247,37.58583,-0.73655
0.61066,1.75961,61.48950,-6.48923
0.62504,1.02097,43.71455,-4.59412
0.64206,2.24108,86.05575,-2.70686
0.65641,0.53794,109.25460,10.74877
0.67233,3.00382,169.60210,17.86623
0.68717,1.66762,98.75987,-4.18278
0.70098,0.62287,81.90191,-1.79331
0.71528,0.94336,26.93357,2.46545
0.72936,0.92360,3.60186,-0.22572
0.74431,1.38413,37.33352,-3.94083
0.75965,0.78171,46.94051,4.91811
0.77266,0.75951,11.87881,-0.90818
0.78709,0.73478,45.61418,4.37940
0.80866,0.82508,13.79468,1.28642
0.83356,1.69758,76.63280,-0.49271
0.85257,1.50460,21.00055,1.65016
0.86786,1.39317,152.62250,14.76749
0.88403,0.51087,98.58327,6.92173
0.90037,4.50171,283.12870,13.96974
0.91494,0.81009,232.54290,-14.58956
0.93086,2.17126,93.29693,-5.64163
0.94677,0.96008,87.35703,-4.49903
0.96121,2.11698,71.57847,-6.97332
0.97796,1.35572,40.71285,-2.02133
1.00201,1.10702,20.07284,-0.07761
1.01837,2.54805,96.02915,3.89692
1.03346,1.23025,85.28846,-4.51158
1.05149,2.51853,97.72202,8.27119
1.06532,30.05426,2146.90000,90.46134
1.07950,28.53832,3931.05000,-281.17520
1.09438,1.56746,1844.74000,-23.67967
1.10997,0.76463,46.70021,-0.74723
1.12758,1.59257,60.79240,5.96572
1.14121,1.34107,18.75905,-0.20733
1.15615,0.39272,61.57917,-6.13146
1.17198,1.50247,78.59896,-0.88090
1.18697,0.67630,52.51567,5.36455
1.20272,1.02954,22.25470,2.02410
1.21874,0.60755,28.77524,0.00088
1.23518,0.38325,12.36954,0.57937
1.25437,0.73560,25.75640,-2.13965
1.27008,0.46995,16.68582,-1.51930
1.28660,0.87406,33.37023,2.31949
1.30154,1.32793,79.21624,8.02923
1.31746,0.56029,55.91456,1.63538
1.33322,19.90656,1268.22300,94.24895
1.34925,21.92503,2739.15200,-171.82690
1.36451,0.86578,1474.11400,153.82610
1.37905,1.28339,29.90891,1.99079
