# Object: Jupiter
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
0.00000,0.99653,106.95030,-2502.60400
0.01394,1.13325,7.46913,-236.14860
0.03232,0.76332,20.38962,-498.75360
0.05052,1.21364,26.23327,-473.66910
0.06768,0.91360,19.73974,-563.69830
0.08288,0.90260,0.91367,10.31584
0.09827,0.94629,3.96776,104.90570
0.11295,0.97781,6.65131,-208.09880
0.12715,1.12397,7.88802,-18.77549
0.14569,0.89012,28.16947,-31.79979
0.16307,0.11949,50.47958,-1517.34400
0.18080,0.26611,9.43525,59.98777
0.19640,0.24566,11.93119,162.44990
0.21502,0.21601,3.81843,120.98260
0.23192,0.43916,14.32803,-270.20540
0.24750,0.12538,19.49169,-639.98220
0.26528,0.08980,3.99846,131.93610
0.28989,0.05752,2.55258,-30.16094
0.30660,0.41287,23.91490,-322.40950
0.32157,0.49269,25.20432,563.71950
0.33569,0.36281,22.33793,-600.04070
0.34992,0.22315,17.14474,507.12840
0.36445,0.22098,17.94626,-589.81620
0.37957,0.15330,4.64444,149.02800
0.39428,0.38334,18.00809,-493.46720
0.40869,0.31849,22.83787,-752.45570
0.42644,0.55206,19.80479,131.28980
0.44202,0.82571,16.93078,340.69130
0.45884,0.86955,5.80376,163.40380
0.47419,0.68054,13.59636,-253.63390
0.48964,0.40794,11.70341,-173.16400
0.51425,0.88066,17.97099,144.21270
0.54431,1.14421,16.03026,493.21440
0.56252,0.85263,18.84501,241.56460
0.57881,1.27930,26.62358,53.33754
0.59509,0.83103,31.90428,-470.65780
0.61180,1.14912,20.14452,283.05870
0.62993,0.83208,19.06797,-61.73339
0.64663,0.88399,4.19319,-132.56430
0.66234,1.42359,37.14389,-479.49450
0.67697,0.80457,35.95325,-279.69970
0.69423,0.92889,10.00304,327.44980
0.70919,0.93904,1.69841,-5.08276
0.72398,1.33388,25.31413,-644.16910
0.73960,0.93849,26.78611,-406.76630
0.75440,0.97397,3.21191,105.55930
0.76866,0.88554,4.13065,-42.81697
0.79218,1.26594,23.14061,-393.65680
0.80864,0.88958,24.11113,-776.89610
0.82425,0.85476,2.29846,-38.01645
0.84050,0.93348,5.53834,170.66180
0.85538,0.94282,1.36072,4.85961
0.87011,1.34668,26.24327,-610.27160
0.88558,0.86620,30.04920,-975.50310
0.90161,0.87098,6.02498,-70.60799
0.91756,0.97027,8.87342,288.64690
0.93188,0.93041,8.01582,-77.22349
0.94680,1.30837,27.20756,-691.91190
0.96273,0.84809,32.39841,-1067.60700
0.97910,0.94262,28.94128,289.91280
0.99384,0.90695,30.85996,1001.74100
1.00915,1.33021,30.58236,594.02500
1.02481,1.03578,20.47064,189.88970
1.04493,0.84078,12.48253,331.78800
1.06145,0.86321,6.49104,204.76750
1.07754,1.28107,26.23898,688.38530
1.09380,0.85865,26.12263,36.59773
1.10997,0.95083,7.39679,-233.45660
1.12458,0.86949,5.48369,-47.39602
1.14056,1.34820,31.03052,609.41730
1.15601,0.80486,31.71490,754.94230
1.17326,0.86429,4.84887,157.40230
1.18933,0.93194,5.70215,-59.96718
1.20424,1.33460,25.99758,-772.19930
1.21985,0.76014,31.48547,-607.55970
1.23812,1.19445,25.03898,-150.51570
1.25556,0.81922,22.21286,-382.85530
1.27251,1.07191,9.97945,-89.77825
1.29843,1.16468,7.39470,109.46930
1.31632,0.85065,19.55980,-198.05450
1.33264,0.87347,2.33405,-75.45830
1.34855,0.93005,5.12222,-13.26834
1.36348,1.31253,24.19483,409.86000
1.37935,0.80591,29.39995,641.33310
1.39658,1.23769,26.56883,558.46460
1.41342,0.81916,24.77237,711.65310
1.43037,0.89503,6.05061,139.90880
1.44589,1.19711,17.49371,536.38170
1.46329,0.83129,22.30521,453.70390
1.48000,1.29810,29.50761,161.26330
1.49605,0.80740,28.63206,-36.06335
1.51325,0.85230,5.05928,-123.83420
1.52955,1.24609,23.73244,-603.87600
1.54627,0.73835,27.57619,-31.52788
1.56508,1.29078,35.07726,-524.91110
1.58122,0.79529,28.65738,-455.54480
1.59868,1.25326,30.74231,-582.98520
1.61531,0.85247,26.68321,-869.51120
1.63160,0.90928,9.87737,-83.81910
1.64687,1.15872,13.90571,-400.94980
1.66485,0.79525,21.41901,-606.28810
1.68232,1.30323,31.79012,-493.98240
1.69830,0.83897,28.09235,126.61020
1.71486,0.97713,11.60447,-94.87651
1.73618,1.02453,11.48019,277.24550
1.76329,0.84724,16.02547,46.14869
1.77969,1.07676,9.63238,88.79354
1.80548,1.21415,17.36079,291.59680
1.82264,0.83140,23.18691,3.71732
1.83935,0.89022,7.95644,-249.07570
1.85495,1.22240,20.04142,-581.89380
1.87199,0.95449,21.62416,-84.60994
1.88654,0.93315,5.20974,171.80370
1.90143,0.86456,5.34314,97.27230
1.91749,0.94397,5.47065,-171.63580
1.93220,1.32677,24.54761,-740.48320
1.94791,0.79596,30.70540,-908.02010
1.96536,0.92706,114.47560,1979.73800
1.98034,1.32296,142.13460,4456.63300
1.99608,0.81519,30.19058,996.27230
2.01312,0.87208,4.58075,77.23322
2.02905,0.91105,8.71231,-234.29600
2.04429,1.34875,28.34247,-896.67790
2.05974,0.74138,32.52251,-937.94760
2.07847,0.94853,15.31682,-96.40623
2.09312,1.00834,5.84651,147.75810
2.10689,1.40734,28.93641,-434.24270
2.12169,0.87438,35.61333,-1174.68400
2.13758,0.93747,4.25882,23.86558
2.15239,0.88792,18.62973,605.64070
2.16804,0.97428,9.97352,-127.67030
2.18229,0.98955,1.42040,-20.59124
2.19633,1.33829,22.41581,267.47900
2.21189,0.80270,52.03804,835.14720
2.22920,0.90128,18.05264,566.06700
2.24461,1.34625,36.09543,427.06320
2.26008,0.68182,33.24258,869.28210
2.28045,1.07006,20.22400,383.20330
2.30641,1.06605,14.23364,-443.55010
2.32595,0.93516,18.85191,305.14150
2.34081,0.90850,7.33152,222.59230
2.35609,1.35963,30.57784,178.26380
2.37142,0.80051,34.62687,80.85502
2.38877,0.94014,14.71555,-479.52440
2.40354,0.89012,3.47845,-18.24551
2.41914,1.36482,36.44212,919.55440
2.43441,0.86872,32.89843,1037.19100
2.45039,0.85114,3.90504,60.37529
2.46671,1.12223,16.11033,528.36580
2.48528,0.87923,15.92257,277.39610
2.50107,1.32273,28.16599,-134.05890
2.51682,0.81453,32.70344,-466.56920
2.53387,0.93430,10.37790,-279.55100
2.54874,1.23038,17.92980,-514.36930
2.56567,0.85054,23.81656,-216.06300
2.58200,0.80603,2.59932,-8.03733
2.59923,1.23996,26.65485,-91.63927
2.61603,0.88910,24.74898,740.87620
2.63166,0.90433,5.05453,92.88926
2.64701,0.90244,4.31243,-102.28770
2.66240,1.33367,27.60902,-910.92400
2.67803,0.73427,32.50035,-670.61880
2.69694,1.37070,42.02393,-1364.48200
2.71214,0.83618,33.13946,-784.25150
2.72875,0.94751,8.47968,246.30410
2.74341,0.88484,9.15095,231.55720
2.75910,1.40880,37.20889,-567.96350
2.77389,0.79296,35.40475,-538.99650
2.79141,1.11762,14.27686,-373.04980
2.81626,0.87679,20.61761,-615.65280
2.83210,0.91235,7.18206,86.11050
2.84733,1.00241,7.63790,89.39675
2.86118,0.86800,8.46334,-164.33790
2.87718,0.97070,11.15874,-145.13080
2.89149,1.13997,9.84906,-320.63530
2.90977,1.21057,18.56836,-608.29320
2.92698,0.95950,11.66788,371.46610
2.94869,0.79359,8.96913,286.45450
2.97494,1.17120,21.32767,421.46330
2.99273,0.87960,22.51918,728.12230
3.00852,1.26153,23.24021,710.88840
3.02503,0.80968,26.66824,716.27460
3.04219,0.85980,3.67428,7.21168
3.05834,1.32344,30.02178,-596.61770
3.07408,0.88348,28.67605,-916.66420
3.08980,0.94705,4.49075,77.64552
3.10447,1.17424,14.98221,-45.23891
3.12221,0.76996,22.48410,-312.29750
3.14025,0.94036,12.52578,404.86130
3.15502,1.39079,30.89286,532.41770
3.17000,0.86022,33.04567,-370.56490
3.18614,1.00031,11.96178,-156.07350
3.20003,0.96566,4.07253,133.95240
3.21441,0.93244,2.94350,-22.06842
3.22931,0.92704,3.52953,-110.53530
