# Object: Mars
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
0.00000,295.79970,25209.19000,-282.63740
0.01173,0.21252,17482.51000,-36.85725
0.02866,0.24496,9.22290,-0.09181
0.04899,0.20902,9.70659,-0.06951
0.06748,0.31959,16.64257,0.01606
0.08503,0.29385,5.96939,0.06465
0.10200,0.11016,18.24279,-0.19041
0.11679,0.17433,8.62046,-0.00312
0.13309,0.19669,8.32885,0.07654
0.14886,0.11218,4.12544,-0.02918
0.17278,0.28819,10.73649,-0.11017
0.19355,0.24700,14.72623,-0.14322
0.21110,0.32844,12.92886,-0.13889
0.23099,0.24222,9.63114,-0.00623
0.25181,0.26594,1.25048,0.01249
0.27244,0.28837,2.34037,0.01461
0.29343,0.33428,3.98088,-0.03888
0.31454,0.30058,3.35225,-0.03022
0.33503,0.34441,4.01308,0.03395
0.35631,0.32187,3.01516,-0.03018
0.38146,0.52764,12.19311,-0.10857
0.39983,0.56265,6.52926,-0.02723
0.41862,0.54932,3.89001,0.04223
0.43911,0.70573,8.52334,-0.05053
0.46016,0.74516,4.15460,0.04333
0.48307,0.71674,17.27717,0.17154
0.50195,0.68835,24.73317,-0.27209
0.52315,1.72354,92.14927,1.03343
0.54374,0.58268,77.55608,-0.12734
0.55922,1.94297,83.37338,0.45308
0.57610,0.62987,154.11780,-1.21615
0.59213,1.43438,127.98620,-1.30116
0.60706,8.24436,517.72190,-5.02336
0.62122,2.10800,416.92870,-2.04381
0.63639,3.37754,95.71163,-0.97398
0.65243,10.17294,722.63680,5.27013
0.66959,0.13782,642.79830,-7.18124
0.68530,14.94695,1082.69800,-12.06507
0.69916,0.07552,966.19980,10.30665
0.71456,0.46206,23.23655,0.25914
0.73255,0.60445,9.75183,0.02610
0.74842,0.61606,10.59541,0.10843
0.76760,0.42106,37.26139,0.36078
0.78585,0.24159,24.97276,-0.16376
0.80231,0.34387,17.80677,-0.06118
0.81767,0.60846,19.56907,-0.00003
0.83514,0.85421,22.39147,0.23057
0.85093,1.33341,61.58293,0.35868
0.86569,0.47900,56.43518,-0.47777
0.88190,0.35080,28.45854,-0.19208
0.89808,1.74918,121.78660,0.40500
0.91307,1.48718,26.18205,0.28587
0.92759,1.60740,17.70056,0.13393
0.94316,0.98462,43.28898,-0.30783
0.95838,0.41876,45.07664,-0.16416
0.97368,1.80862,54.14211,0.06742
1.00168,2.35838,45.52817,0.25842
1.02055,0.49915,99.51302,-0.09945
1.03963,3.00145,149.13820,-1.66222
