# Object: Mercury
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
0.00000,0.22645,38.31383,0.19315
0.02072,0.38646,8.45886,0.04717
0.04005,0.19627,11.24517,0.01464
0.05700,0.09805,10.46511,-0.05871
0.07372,0.70114,45.42459,-0.12407
0.08994,0.50406,20.94352,-0.00114
0.10739,0.55915,5.86236,0.03112
0.12362,0.68713,9.45113,0.05018
0.14135,0.17251,49.12581,-0.10771
0.15707,0.23041,20.08822,-0.11209
0.17416,0.44676,11.53087,-0.01941
0.19448,0.41411,3.58282,0.01956
0.21531,0.19337,10.78535,0.04442
0.23596,0.07100,6.04262,0.00123
0.25686,0.34105,12.87937,-0.07225
0.27787,0.00538,16.50524,-0.07637
0.29881,0.14136,5.88499,0.02104
0.32344,0.05305,5.37144,0.01609
0.34022,0.20827,7.77084,0.04356
0.36092,0.06832,8.13196,0.01574
0.38243,0.10693,3.00200,-0.01636
0.40455,0.13278,3.38407,-0.01699
0.42360,0.52979,19.20248,-0.01261
0.44447,0.42768,8.16339,0.04564
0.46544,0.17780,12.33358,0.02333
0.48641,0.52233,17.68249,-0.09353
0.50680,0.68428,6.48319,-0.02932
0.53299,0.43009,11.85441,0.06469
0.55723,0.48750,2.59852,0.01452
0.58434,0.85300,20.74533,0.10595
0.60221,0.54757,17.41868,0.09496
0.62000,1.09862,33.26415,0.18660
0.63665,0.89441,16.78261,0.07197
0.65495,2.01554,65.63405,-0.08223
0.67233,0.66259,66.96092,-0.32896
0.69274,1.80405,66.54115,-0.10835
0.70990,1.69096,8.89444,0.00538
0.72669,1.18391,34.93311,-0.13469
0.74240,1.88092,46.83874,-0.26276
0.75746,1.20941,48.38278,0.03560
0.77200,1.53283,24.46828,0.08835
0.78769,0.87824,42.03474,0.23423
0.80368,1.45419,33.84274,0.16352
0.82106,1.08107,26.43449,0.01867
0.83540,0.74602,26.57021,-0.13063
0.84992,0.89539,14.46614,0.06624
0.86276,0.75808,29.26978,-0.12832
0.87586,0.69324,4.66537,0.02604
0.89025,0.24094,43.39668,-0.24345
0.90432,0.52488,35.58617,0.13581
0.91910,0.27656,18.44140,0.10058
0.93708,1.41872,81.43363,0.45286
0.95350,0.43425,114.06580,-0.32888
0.96859,1.69654,146.10850,-0.56638
0.98247,1.58497,29.56703,-0.06103
0.99835,1.30540,27.78248,-0.01365
1.01467,1.88057,31.80124,-0.02947
1.03892,4.34238,143.60530,-0.11187
1.05718,0.39947,260.53060,-1.07487
1.07245,3.52495,225.71820,0.31280
1.08631,4.66589,110.64530,0.55241
1.10013,0.43888,295.65840,-1.10596
1.11442,2.65635,149.25820,-0.78471
1.12939,1.28717,76.37238,-0.08583
1.14746,2.18717,57.33808,0.03356
1.16370,1.44094,47.93916,-0.14886
1.17933,0.86764,50.70326,-0.10630
1.19370,2.51357,130.25840,0.56819
1.20776,1.78514,54.53560,0.05110
1.22126,3.11563,91.51225,-0.19667
1.23591,2.90452,60.07294,-0.00139
1.25182,0.73337,157.58720,-0.78377
1.26658,2.11964,107.06500,-0.28009
1.28172,2.64536,61.87350,-0.15150
1.29724,1.94406,63.87638,0.23899
1.31178,1.04447,63.24906,0.30056
1.32695,1.71629,71.18530,-0.05096
1.34173,0.74639,99.37074,0.01096
1.35954,3.08086,232.26450,-0.88071
1.37396,2.22363,65.00694,-0.28641
1.38790,2.20537,219.60810,-0.85289
1.40357,3.20999,308.12160,-1.50223
1.41922,1.02946,245.66410,0.13270
1.43475,1.67751,137.38720,-0.43318
1.45193,1.10549,156.05450,0.68047
1.46690,2.69414,229.17680,0.92519
1.48255,0.64728,152.89640,0.36730
1.49768,0.83608,13.63594,0.02636
1.51499,0.77370,30.81039,-0.16934
1.53891,1.10419,28.98067,-0.10388
1.55680,0.44874,42.25596,-0.21986
1.57440,0.80412,42.16447,-0.21188
1.59072,2.04762,170.37570,-0.62943
1.60619,1.18987,60.06084,-0.00235
1.62209,0.76957,26.53889,0.14172
1.64579,0.42682,15.60541,0.03377
1.67554,1.31631,66.56326,-0.25701
1.69376,0.65347,95.22791,0.01502
1.71045,0.27092,27.21284,0.05325
1.72518,1.80919,103.48780,0.58050
1.74289,0.97220,59.50285,0.27749
1.75929,0.39249,35.39617,0.01126
1.77642,0.86203,28.60842,-0.05595
1.79323,0.18822,43.25896,-0.11951
1.80894,0.45092,22.99293,0.12369
1.82379,0.27862,21.77530,-0.11939
1.83804,0.34555,8.73829,0.04523
1.85174,0.36021,4.12173,-0.02309
1.86634,0.33232,12.70017,0.04183
1.88167,0.41994,29.75850,-0.06077
1.89584,0.40806,32.02734,-0.13086
1.91141,0.31231,12.09224,0.06668
1.92687,0.26068,4.34968,0.00870
1.94368,0.69139,30.02834,-0.12406
1.95972,0.34803,20.85485,-0.10414
1.97654,0.22596,13.29808,0.06211
1.99242,0.60632,30.88256,0.02029
2.00743,0.32899,34.68142,-0.15487
2.02264,0.87705,31.16950,0.15229
2.04594,0.66443,12.38845,0.06105
2.06370,1.02051,24.43723,0.06897
2.07871,0.35069,70.91421,-0.29535
2.09312,0.42593,20.45025,0.11463
2.10805,0.47568,8.66230,0.02154
2.12462,1.91182,98.31201,0.03543
2.14019,0.40287,99.76517,-0.47792
2.15704,0.66640,44.82495,-0.22004
2.17333,0.32724,33.71808,0.04327
2.19009,1.15528,67.55882,0.33834
2.20582,1.26457,7.50609,0.03208
2.22102,0.39710,102.70590,-0.56372
2.23560,1.23491,89.85701,0.06410
2.25040,1.25997,19.59950,0.09371
2.26597,0.72363,42.28775,-0.02080
2.28052,0.21155,34.40446,-0.15650
2.29641,0.26076,6.33022,0.02208
2.31288,0.64234,37.61698,-0.05346
2.32685,0.09782,37.37533,0.02630
2.34171,0.22002,13.65880,0.06433
2.35770,0.32410,25.73807,-0.12249
2.37341,0.66114,17.86478,-0.02222
2.39232,0.18061,31.30889,-0.08679
2.40785,0.58278,27.81848,0.13322
2.42362,1.06971,106.99080,0.44134
2.43890,0.28436,79.78345,-0.27050
2.45552,0.30836,2.78377,-0.01536
2.47316,0.22796,28.56260,-0.02173
2.48974,0.51428,17.68970,0.06316
2.50669,0.46982,56.82786,0.24524
2.52267,0.30554,7.79981,-0.02068
2.54876,1.01305,82.25427,-0.45891
2.56427,0.15694,73.49960,0.28837
2.57768,0.30863,12.23046,0.01671
2.59564,0.45593,32.73040,-0.15538
2.61211,0.24706,34.83784,0.16118
2.62639,0.14835,7.83932,-0.03635
2.64088,0.32587,25.24853,-0.00475
2.65640,0.09447,14.05958,0.07112
