# Object: Neptune
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
0.00000,331.04030,25815.73000,-22256.16000
0.01282,10.37385,18322.86000,-9323.08400
0.03133,0.89003,573.27580,-716.08470
0.04933,1.03318,13.87429,-23.97711
0.06717,2.20661,72.69168,-117.50960
0.08387,0.15421,153.03510,173.18950
0.09904,2.92583,164.04960,-269.52930
0.11772,2.30351,45.39558,45.84491
0.13573,0.72274,60.18128,50.17615
0.16205,3.69876,124.84570,183.56000
0.18672,2.42277,58.09658,-63.13196
0.21459,3.59166,74.50809,132.36770
0.23232,0.07147,224.32330,-317.32130
0.24821,0.47633,26.63115,-46.78121
0.26526,0.47897,6.36591,3.84952
0.28096,0.64504,15.22602,13.91639
0.29559,0.34956,19.81005,-34.16117
0.31070,0.17435,11.15593,11.30532
0.32699,0.20576,23.23795,10.41748
0.34263,0.29843,9.32203,-14.23738
0.35949,0.13201,22.42013,-36.71875
0.37743,0.29810,12.78584,22.78396
0.39211,0.37991,7.41219,-10.34077
0.40700,0.21072,12.46555,-0.78343
0.42274,0.28344,10.76372,17.58119
0.43978,0.35844,6.37706,-4.96771
0.45476,0.40064,9.50902,-3.50178
0.46958,0.60552,15.37172,27.37804
0.48491,0.82332,13.69665,17.34007
0.50133,0.53218,19.40985,-33.27212
0.51643,0.78216,18.14142,13.36788
0.53079,0.40548,27.63655,-10.95746
0.54492,0.79964,24.55361,-26.49331
0.56183,0.73460,8.70768,-15.49715
0.57810,0.56073,12.82748,13.95214
0.59300,0.96237,35.64909,4.79342
0.60691,0.94078,8.36642,-8.85503
0.62061,0.80474,27.90300,49.50597
0.63516,0.51186,24.34578,-3.51688
0.65079,0.87301,17.34424,-24.42097
0.67568,2.70139,195.66460,-135.20260
0.69185,0.85308,207.23490,-263.58520
0.70655,1.28687,94.94839,-6.08519
0.72227,5.07995,278.77460,-386.28260
0.73799,0.34057,319.99560,461.77520
0.75391,6.74069,375.25290,-494.41830
0.77208,1.90126,299.86550,-149.19690
0.78887,3.32204,98.94621,-95.94212
0.80376,1.45337,111.23680,-40.36676
0.82077,2.43466,69.52834,42.84134
0.83715,2.17494,31.01446,22.12226
0.85310,1.18708,57.47293,87.92146
0.87079,0.33398,57.61272,-78.84725
0.88662,3.05360,162.61440,195.36540
0.90395,2.47378,48.02816,5.49959
0.91878,2.63087,27.24112,-48.42352
0.93224,1.29979,91.73315,23.03505
0.94677,0.35570,69.92280,-18.30756
0.96070,3.84889,214.64780,342.96260
0.97726,1.31905,155.83490,200.29100
0.99354,0.34827,62.93900,-94.40025
1.00948,2.18431,140.80420,-73.27125
1.02302,1.04010,86.35223,129.45790
1.03678,1.40654,27.01024,-28.84803
1.05119,1.40241,3.50980,-6.23526
1.06645,0.91055,30.74156,-37.98992
1.08274,1.61390,42.22119,-74.72916
1.10029,0.92718,42.97988,-61.25131
1.11651,0.55017,47.96511,60.05449
1.13211,2.88377,192.53190,318.07380
1.14611,2.11418,54.10073,37.48536
1.16102,1.36822,28.52807,48.77280
1.18789,2.79056,86.37691,-111.17720
1.20595,1.89747,56.20176,-98.60474
1.22324,1.01244,57.38638,-61.58520
1.23886,1.76689,54.16720,4.09717
1.25418,0.98243,57.66409,94.23172
1.26870,0.65892,47.67183,55.39660
1.28586,2.48647,164.51370,-1.43223
1.30063,1.64679,54.28382,-20.53925
1.31667,1.86593,18.81491,-33.24015
1.33121,0.60922,115.94050,-46.68693
1.34702,2.60488,171.38760,26.45282
1.36222,0.67372,151.02360,190.30300
1.37899,2.26038,148.08770,171.26820
1.39490,1.32340,173.69480,295.45310
1.41003,1.53742,126.45080,30.89338
1.42498,0.92014,53.37846,-92.62411
1.44023,3.12180,173.81630,-232.94020
1.45615,0.86789,130.04210,27.44221
1.47888,0.82525,23.45725,-13.06005
1.50566,1.99361,112.81260,-147.71670
1.52231,2.74125,290.65850,-27.59415
1.53688,1.02645,213.58450,288.89320
1.55273,0.75635,96.20060,54.43640
1.56758,0.48605,34.23810,-6.05667
1.58519,0.74636,61.94396,-107.26750
1.60040,1.04907,112.27670,20.04359
1.61552,0.38503,77.57679,-22.20949
1.62931,0.60381,37.44303,-46.84197
1.64409,0.47356,47.13826,64.56140
1.65994,0.83545,63.39070,53.37964
1.67491,0.23462,36.38733,-19.26550
1.69837,0.10500,11.22683,17.22470
1.71415,1.19839,78.27241,-39.40417
1.72922,0.74986,42.60761,7.79030
1.74268,1.03196,97.88629,159.80170
1.75833,0.55234,80.69611,102.78740
1.77468,0.35088,41.91677,59.43994
1.79347,1.26102,94.75570,111.84830
1.80997,0.19318,91.82862,-156.90260
1.82519,0.53374,40.38217,24.23080
1.84094,0.42794,18.01318,9.80454
1.85568,0.45045,4.94772,-7.21571
1.87037,0.46936,22.35272,37.59586
1.88544,0.66032,28.83874,22.68106
1.90118,0.92888,44.52876,-50.96129
1.91686,1.74816,129.86810,-184.41980
1.93111,0.89829,63.24320,49.93807
1.94652,1.02499,93.75456,11.28115
1.96007,4.64313,351.27900,251.14200
1.97530,0.81917,289.21850,331.52850
1.99316,3.12205,217.75630,318.26470
2.01029,2.65189,70.81554,125.85920
2.02501,0.88471,115.26850,56.24197
2.04067,1.87566,66.01620,79.15657
2.05736,0.78893,76.86842,-136.89980
2.07162,0.83199,100.57540,-7.71695
2.08698,5.91446,442.80110,-435.06660
2.10217,0.71111,330.13140,130.99890
2.11871,2.96138,145.98680,-31.60541
2.13454,1.25630,118.05930,43.47123
2.15086,2.61429,76.85754,-136.35140
2.16854,2.95839,51.68864,-84.57059
2.18356,0.99829,86.77392,-103.21530
2.20869,2.33349,74.84387,-68.70987
2.22679,2.04927,38.23067,-22.82170
2.24300,1.82602,42.48129,-54.90301
2.25855,0.32274,106.11750,-120.11540
2.27480,1.04661,58.42922,86.06902
2.28962,0.99742,52.46556,83.52061
2.30531,0.21897,53.55246,-81.86786
2.32113,1.02407,56.60037,-88.18945
2.33681,0.21403,63.40958,106.07280
2.35242,1.27690,71.85078,124.70690
2.36900,0.24097,77.22784,-83.47533
2.38428,0.30878,10.79793,-19.22002
2.40158,0.33087,19.66185,0.29286
2.41798,0.95193,66.12707,116.40020
2.43285,1.07387,30.68088,-47.24914
2.44654,1.36517,28.10192,35.65044
2.45934,1.34057,10.80102,18.22244
2.47454,0.74168,45.02071,-48.39954
2.48950,0.84916,9.54363,-13.47170
2.50472,1.78103,67.27715,-89.95416
2.52082,2.27872,54.01720,-31.46094
2.53597,1.17376,78.89376,140.58560
2.55030,2.48639,98.37054,146.37590
2.56523,0.91963,99.20298,37.78070
2.58144,1.69880,44.33646,78.72854
2.59957,1.74001,49.65268,11.44886
2.61755,0.90867,104.97990,180.31220
2.63323,1.78255,121.39730,168.33080
2.64820,1.68577,18.05516,18.25321
2.66410,0.87456,76.38151,-136.04890
2.67850,1.89391,82.26246,-135.14630
2.69404,0.99236,85.27212,150.61490
2.71621,2.20669,130.87970,170.84330
2.73283,2.37228,39.59402,66.31682
2.74806,0.92818,66.32222,97.10922
2.77264,2.10398,51.57077,27.78065
2.79889,2.33318,32.97696,-52.77973
2.81643,0.57479,141.58230,-15.47643
2.83292,1.23799,80.24883,26.98009
2.84937,0.51343,62.42102,65.58109
2.86416,0.31104,31.70585,-51.69304
2.88024,0.52721,37.53257,-6.58493
2.89563,0.83711,28.65372,47.48996
2.91022,0.87864,44.32883,-48.54613
2.92501,0.99346,18.84804,-25.69158
2.93997,0.65633,38.94714,61.51117
2.95499,0.86244,51.99822,10.12681
2.96969,3.11561,241.04660,45.60439
2.98501,2.25839,57.32876,23.25993
3.00098,2.93159,78.55335,-4.23772
3.01608,1.50876,99.81039,-177.05280
3.03039,3.02724,98.52804,3.39788
3.04783,3.18779,43.87680,43.16383
3.06382,0.56217,255.44000,-437.93730
3.07835,5.41133,380.91640,-562.45950
3.09402,1.19462,259.09000,-428.66420
3.11058,2.29528,63.27444,82.65198
3.12889,1.32754,75.03751,-52.71607
3.14394,3.72393,147.01980,160.07030
3.16030,1.13764,170.90590,-9.40867
3.17631,1.16332,7.63782,-10.95434
3.19198,2.07038,52.94378,35.12851
3.20960,1.58328,27.26035,-22.58959
3.23304,1.03855,80.27907,106.65380
3.25193,2.89512,151.58830,192.06800
3.26921,3.03105,32.25223,38.72811
3.28465,1.88153,117.50060,209.38070
3.29967,2.28974,77.08702,59.73516
3.31406,2.27655,38.78008,-8.50148
3.32913,1.40202,68.05220,22.37144
3.34612,1.42793,49.29688,29.74993
3.36289,3.76790,190.10950,249.18660
3.37854,0.98192,217.19150,-347.00360
3.39306,1.47544,52.19726,-67.41317
3.40796,2.37693,55.64730,-98.65172
3.42452,2.19946,13.27493,-6.52597
3.43886,1.34200,56.82336,13.72847
3.45497,1.31384,5.66727,10.07290
3.46966,2.40374,80.44157,91.37981
3.48436,2.37237,34.51012,21.82954
3.49968,1.63222,55.37898,-73.93159
3.51444,2.35260,77.86790,-136.92690
3.52948,1.10079,81.49053,-88.03408
3.54500,1.99568,60.53363,-51.96799
3.56082,1.78708,13.61999,-24.26737
3.57840,1.98715,24.39532,-41.42463
3.59478,1.02193,60.37258,-95.02853
3.61080,2.20542,75.32983,-122.88740
3.62674,1.11570,74.91314,68.31358
3.64142,1.70013,31.08292,-39.29239
3.66142,1.00367,43.66466,-77.75330
3.67754,1.79065,53.37991,-84.00799
3.69305,1.54872,26.31908,12.92711
3.70768,0.96204,50.88622,90.67456
3.72311,1.23266,24.02468,41.98899
3.74805,1.27906,52.91823,1.98595
3.76712,0.56518,59.87254,100.50480
3.78340,0.92956,23.00047,35.82928
3.80089,0.22786,53.44018,-62.71908
3.81568,1.50474,95.30336,-146.53400
3.83034,0.20590,89.23075,158.67560
3.84557,1.38409,62.12724,-98.87302
3.86562,0.23780,67.38746,-10.94020
3.88308,0.82089,48.02814,85.00692
3.89840,0.29739,39.20427,-69.26931
3.91251,0.58091,19.72519,20.65639
3.92715,0.38505,29.40589,-5.50176
3.94180,0.36215,8.10975,-5.19216
3.95643,1.06708,48.74290,68.12117
3.97175,0.18729,73.92339,-125.28700
3.98559,2.88228,196.40320,-324.29380
4.00017,0.15500,177.07270,305.13930
4.01564,1.06763,63.09276,11.50528
4.03033,1.97541,63.61631,-81.26794
4.04520,1.70959,20.55017,-34.59643
4.06089,1.71313,5.61205,-3.09225
4.08646,0.77948,34.29257,29.80166
4.11392,3.86571,172.22620,-70.16618
4.13239,1.06922,150.55730,-263.02500
4.15097,2.16606,68.30647,-113.95550
4.16755,1.14350,68.53159,-60.53349
