# Object: Saturn
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
0.00000,238.92850,16929.07000,107774.90000
0.01411,7.23857,13087.35000,-106652.10000
0.03238,0.25367,335.33820,-1512.25300
0.05388,0.54010,17.65810,119.15210
0.07372,0.38424,14.90143,91.30922
0.09477,0.64587,23.71200,229.95720
0.11102,0.32496,23.25237,-170.19170
0.12644,0.39779,18.09743,27.98664
0.14129,0.92405,41.62839,406.90160
0.15683,0.22034,58.20301,397.52690
0.17442,0.82889,55.30609,299.07230
0.19161,0.63254,12.24145,-72.82285
0.20773,1.86655,78.39848,-517.11400
0.22373,1.05357,52.54805,-488.97150
0.24012,2.24229,73.36462,-448.85180
0.25664,2.36031,19.20335,171.57490
0.28249,4.02849,91.78531,-725.79620
0.30253,3.10822,63.65587,628.12360
0.32101,0.10580,183.93530,-449.55120
0.33757,1.86885,114.81270,-531.44760
0.35337,6.08110,265.26060,2103.60500
0.36954,1.22160,285.21100,2533.49000
0.38660,2.02745,47.88610,431.13290
0.40371,0.98721,65.02937,597.96900
0.41977,1.76301,51.21174,438.95390
0.43578,1.32283,24.70647,187.72790
0.45408,0.68406,37.13248,236.88550
0.47207,1.24532,31.16037,-136.63080
0.49040,0.49296,36.48272,-286.04610
0.51116,1.90602,88.03001,-203.74280
0.52811,1.21105,69.87052,-148.04910
0.54496,1.34452,48.42206,-464.08240
0.56015,0.45188,65.04326,-630.65740
0.57839,1.71237,91.44241,-130.45580
0.59623,1.78673,27.59881,107.49290
0.61311,1.02316,50.45584,-399.60660
0.62841,1.88620,65.88366,-552.22790
0.64296,0.59351,98.52912,-310.76720
0.65993,2.45642,161.99130,1101.50500
0.67426,1.02328,96.39433,880.52010
0.69079,0.70285,42.08789,401.50170
0.70755,1.51888,55.09469,370.64750
0.72328,2.62381,168.58310,822.90710
0.73857,0.68539,144.97100,-1212.29400
0.75416,6.11011,358.91830,2199.49500
0.77062,0.93242,247.66130,-1805.81100
0.79445,7.90646,471.07130,4663.45900
0.81147,0.70859,466.64120,2292.57800
0.82769,0.66561,5.53417,-46.45625
0.84330,0.63094,7.31315,-21.76574
0.85857,5.46633,342.77210,-2581.70500
0.87386,8.74790,205.81070,-1995.89900
0.89575,2.56619,222.95230,1114.54000
0.92462,5.67796,196.22310,-1934.39500
0.94177,2.28007,240.80550,-1103.11400
0.95607,0.33699,149.58900,737.99920
0.97013,3.48437,218.67860,1342.25500
0.98548,4.17923,69.16351,205.62450
1.00000,2.43082,119.20100,-434.18370
1.01484,1.04460,83.05014,-433.43810
1.03167,1.89991,54.05228,-116.09140
1.04818,1.84001,14.36589,-55.38192
1.06408,0.95236,58.40880,-560.87840
1.07936,1.60998,43.53909,-275.21670
1.09489,0.98544,40.62632,-266.23890
1.11442,1.73206,62.83408,-573.42020
1.13007,0.35545,90.83580,-769.64170
1.14727,2.64460,164.55470,-1206.59700
1.16260,1.99365,47.90462,389.23140
1.17632,0.95287,63.02163,578.21010
1.19324,8.19264,442.99560,-4055.98700
1.21019,6.34291,902.14110,-5945.45000
1.22610,1.92569,445.62850,2846.28400
1.24399,2.11224,19.26371,63.97368
1.25945,1.07874,69.16628,-513.03680
1.27486,1.37722,12.75085,-117.70480
1.29931,1.71829,34.03421,325.23910
1.31879,3.24106,96.78468,844.31430
1.33499,1.26872,131.35170,952.98570
1.35009,2.34258,77.93348,653.98180
1.36608,2.25930,24.92168,154.97390
1.38146,1.13539,83.73529,-768.03590
1.39589,2.12784,81.71300,-793.57930
1.41105,0.95343,191.21030,1742.78700
1.42479,0.97719,89.44274,160.97120
1.43952,1.82464,72.51528,-262.55320
1.45495,0.74298,75.86481,-749.69600
1.47097,1.54120,53.23466,-354.56960
1.48623,2.74502,167.98580,293.30210
1.50062,1.07558,200.77610,-681.96660
1.51835,2.27308,194.14740,-1691.27400
1.53506,1.18035,216.53220,210.17830
1.55036,1.28308,167.61040,1489.73300
1.56452,1.08969,35.24341,-59.46316
1.57978,0.13243,82.70620,169.35900
1.59427,0.74591,55.53061,549.40970
1.60992,0.56583,24.08577,-132.90470
1.62489,1.52655,119.65730,-926.50900
1.64093,0.56482,113.16630,36.47241
1.65568,0.59063,49.83361,349.04480
1.67032,0.51350,36.99078,-220.85590
1.68639,0.51198,37.53357,-369.95930
1.70307,0.40616,28.54004,-76.17632
1.71975,1.07882,58.76752,33.53287
1.73632,0.88603,30.29164,232.43940
1.75251,0.97365,107.41890,695.23310
1.76759,0.90149,109.97090,-983.31690
1.78237,0.58374,35.43048,-274.03960
1.80772,1.05838,40.01466,-371.06000
1.82520,0.89392,88.33242,-610.10300
1.84192,1.31438,116.00240,-66.35947
1.85766,0.92944,35.51289,339.67040
1.87233,0.85512,29.59761,169.58530
1.88876,0.42684,54.08544,-411.50430
1.90496,0.48722,40.46045,-396.98100
1.92237,1.29282,38.27289,312.90770
1.94388,1.02086,18.77071,162.83610
1.96941,0.38855,39.23071,375.02020
1.98678,1.04009,47.36079,-69.45430
2.00188,0.52318,33.91597,-334.62460
2.01807,0.18501,38.74855,221.34190
2.03380,2.02400,137.01190,1302.02400
2.04892,0.43691,155.81240,-1037.03700
2.06349,2.09543,150.96100,-1267.99600
2.07907,0.76526,86.37046,-570.25000
2.09468,2.06092,86.70101,-473.32260
2.11045,0.70598,153.46520,100.04970
2.12723,2.29620,184.74570,1036.10200
2.14233,3.43949,92.88933,879.95560
2.15600,0.39511,239.20160,-1554.91400
2.17155,1.52758,105.63230,276.40190
2.18928,0.66539,54.60931,-483.37010
2.20511,1.91340,81.10941,-800.53560
2.22069,0.37145,120.11850,191.06680
2.23657,0.75507,52.39730,375.43860
2.25112,2.87599,255.72760,-937.19000
2.26510,1.74656,88.76044,-593.59990
2.27871,1.84321,25.21888,-45.28254
2.29413,0.64078,109.43820,265.92320
2.31651,3.83522,210.59160,-1891.94600
2.33743,0.94990,284.79910,-2780.01000
2.35384,3.22320,268.78190,-2049.94200
2.36848,1.20983,293.27660,2565.20200
2.38268,0.77313,87.20287,108.98060
2.39754,1.74788,77.86852,-219.18960
2.41322,0.92471,99.62630,-616.03590
2.42750,1.81092,77.25341,-431.49620
2.44356,2.28228,44.32197,365.41880
2.45736,1.47162,97.73212,-105.70800
2.47089,2.79943,113.22200,-1011.32000
2.48512,2.19623,150.11330,-524.89590
2.50194,2.62229,120.73870,645.35360
2.51867,2.26415,27.67677,-114.55350
2.53825,1.67852,72.16052,159.98500
2.55369,3.34717,104.07210,-490.64770
2.56979,1.26454,202.42420,1968.79800
2.58354,4.84639,321.42070,2495.18900
2.59775,3.22257,126.45490,1014.78900
2.61309,1.94250,97.70794,454.72410
2.62855,3.22607,91.03189,76.85053
2.64334,1.86911,95.43587,25.45207
2.65938,1.28416,51.00205,-504.30330
2.67391,6.20235,382.58160,-2354.76600
2.68744,1.01211,355.67870,2891.23500
2.70234,1.94518,67.77983,655.06100
2.71733,0.83255,76.70304,-146.09610
2.73262,3.49550,146.02560,742.94950
2.75117,3.38556,73.26385,92.95333
2.77100,0.87127,178.65530,-1763.80200
2.78612,4.69405,278.40400,-2237.28100
2.80158,2.58446,89.67981,-654.04970
2.82513,1.48527,70.30050,-492.48610
2.84167,2.45227,67.21547,-583.72630
2.85700,1.33326,84.15427,221.00400
2.87056,0.43695,77.00039,443.05830
2.88562,4.06248,270.90510,1026.37100
2.90033,3.08276,60.30468,583.40580
2.91686,0.53342,221.64780,-2055.60200
2.93022,2.84652,202.01740,-523.57790
2.94452,0.89894,107.01900,-887.88980
2.96283,2.04659,56.51659,300.20130
2.98480,2.05259,30.42002,-245.87560
3.01067,0.82902,104.65540,-720.66810
3.02785,1.31482,75.71886,-350.49080
3.04417,0.51929,57.14751,565.72140
3.05931,1.19086,55.92501,289.42160
3.07482,1.05535,14.84792,-52.52779
3.09063,0.32621,51.03502,-447.77640
3.10681,0.83923,34.65491,-183.56770
3.12351,0.63212,60.46733,-195.49320
3.14103,0.95659,70.13437,694.30080
3.15565,0.35750,64.09566,292.85560
3.17262,1.56015,114.25750,-638.09660
3.18761,0.32803,106.05920,-750.94820
3.20370,1.55164,110.53800,852.43120
3.21791,0.24107,103.06590,-819.76710
3.23208,1.29580,79.35645,-475.16170
3.24672,2.55891,88.89748,369.43340
3.26099,2.02147,37.68164,295.90650
3.27636,0.76792,86.70531,590.58920
3.29188,1.59849,59.70329,-326.84060
3.30649,2.60698,48.97250,-361.11010
3.32956,1.20311,82.93394,-397.07170
