# Object: Uranus
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
0.00000,0.39673,87.95734,132.27510
0.01134,0.27337,8.88874,-7.31737
0.02720,0.45536,33.67447,45.64225
0.04794,2.33002,104.51420,8.58979
0.06619,1.73540,48.37984,44.57183
0.08165,1.43994,20.91794,28.08532
0.09761,0.61414,56.54340,-19.50999
0.11226,0.25460,43.79210,-66.06129
0.12934,0.21511,3.31503,4.78759
0.14395,2.75961,213.19500,74.37760
0.15741,0.39838,137.89790,-120.56800
0.17464,0.17340,13.74849,-19.72881
0.19190,0.20313,10.02281,14.33077
0.20726,0.23109,2.34979,-0.04669
0.22336,0.32675,9.78282,-14.17295
0.24018,0.30680,2.28095,1.22695
0.25560,0.31467,10.05078,15.25019
0.27257,0.31512,8.90964,-7.09437
0.28809,0.46496,10.93794,-11.62386
0.30373,0.53635,7.13911,8.38102
0.31745,0.49922,12.25935,-14.06012
0.33311,1.06692,40.09804,-60.51334
0.34933,0.71903,26.90820,19.40750
0.36394,0.58729,9.06591,13.28548
0.38074,0.98163,16.66792,15.24656
0.40487,1.18117,56.63114,-27.78998
0.42043,0.86585,27.43317,-38.30691
0.43553,1.89027,103.92830,-4.64289
0.45017,0.69759,113.36170,171.95570
0.46568,4.25551,314.09050,370.92970
0.47975,3.28536,94.57630,48.23924
0.49434,1.69238,108.33380,-0.13117
0.51017,4.01171,165.95920,-87.38198
0.52474,1.84074,153.66190,-232.46090
0.53942,3.63097,119.65630,-180.94240
0.55455,3.11148,59.70854,-39.98335
0.57113,0.19820,154.22350,-112.32230
0.59020,5.05555,269.49690,283.56020
0.60830,0.31817,304.51170,135.14270
0.62392,3.14346,191.97180,-18.51917
0.63880,3.15672,35.97170,-24.30502
0.65363,1.97087,82.05904,-124.53600
0.66821,3.59966,119.31460,-157.65990
0.68275,2.21241,98.42097,45.76481
0.69687,3.64570,99.64867,-103.69800
0.71327,0.53282,199.86810,85.65137
0.72986,5.15541,303.28240,-411.00960
0.74619,3.26309,150.28470,-217.95280
0.76166,1.73607,105.06120,-9.92924
0.77633,2.08138,25.40197,6.53329
0.79994,1.77948,14.84742,-21.05296
0.82694,1.23071,33.10040,47.13634
0.84698,3.75358,171.62680,169.77890
0.86352,3.33449,67.29883,72.17393
0.87866,0.88105,186.48030,-43.24965
0.89255,0.58097,22.85474,0.61051
0.91521,1.10208,50.20065,6.14097
0.93211,0.56393,41.84297,62.58786
0.94824,1.16028,60.32256,40.24422
0.96340,1.01855,11.17758,-14.82805
0.97845,0.75656,67.50439,-32.77790
0.99707,0.91994,92.02837,-135.03620
1.01228,0.78475,16.97871,-7.29480
1.02838,0.97868,17.91098,10.41694
1.04463,1.19448,124.30200,185.59140
1.06014,0.61060,55.84556,24.05130
1.07596,0.59880,21.23787,-19.72418
1.09254,0.71325,38.73780,-32.97981
1.10756,0.55385,54.44744,71.65871
1.12325,0.75159,50.50906,50.25583
1.13891,0.97513,69.11835,22.83590
1.15542,1.59196,140.18900,-81.11034
1.17100,0.96100,150.93110,-228.48070
1.18669,0.56710,67.40240,-102.30910
1.20461,0.81698,27.20539,20.24038
1.21917,0.39626,45.16556,60.33874
1.23536,0.79101,26.87662,-1.32475
1.25133,0.81634,31.01660,-45.69500
1.26700,0.49273,53.06580,14.01475
1.28232,0.80875,59.62007,48.73375
1.29646,0.38725,41.49958,-33.59226
