# Object: Venus
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
0.00000,14.73361,1085.75900,-19.42917
0.01365,0.33845,893.45210,-73.15561
0.02983,0.61820,15.39470,-1.18832
0.04880,1.23003,33.49918,0.34685
0.06726,1.27786,4.76341,-0.11534
0.08345,0.53253,54.75793,0.16439
0.09739,0.55829,2.80453,0.16653
0.11206,1.37249,75.16516,-4.06544
0.12676,0.92048,49.52435,-2.78763
0.14164,0.65324,22.98995,0.26286
0.16715,1.01820,27.04320,-2.31732
0.18666,0.89956,12.44802,-0.79837
0.20290,3.30245,149.98010,11.14998
0.22221,0.85808,119.86190,-4.88529
0.24318,1.43465,30.70396,1.16210
0.26381,1.35527,11.17368,-0.58421
0.28487,0.23779,54.44249,-4.44098
0.30572,0.18803,5.23431,-0.13356
0.32636,0.31799,23.01849,1.90252
0.34746,0.25647,10.81302,0.59082
0.36812,1.27811,47.33638,2.59057
0.39322,4.05955,165.28900,-12.18291
0.41154,1.63656,134.88420,9.66275
0.43049,0.65057,49.02471,-0.25525
0.45145,3.05256,117.53170,9.92537
0.47227,1.66485,72.13498,-6.10490
0.49309,1.11307,35.11188,2.99720
0.51421,0.76145,27.93163,-1.79765
0.53503,1.29241,45.31634,2.01907
0.55553,1.94805,44.20988,-3.55782
0.57644,0.52112,93.26528,-7.87557
0.59482,1.93698,108.68420,-9.04623
0.61141,1.43712,35.65909,-2.40021
0.62675,0.91920,41.95133,2.37975
0.64179,1.35527,19.13527,1.17644
0.66461,1.06478,17.75399,0.48711
0.68101,1.94112,79.43050,-5.14789
0.69555,1.07212,107.74510,-3.92812
0.71007,1.52135,69.11349,4.78088
0.72472,1.62461,9.61052,0.43298
0.73891,1.44409,30.58863,-0.92031
0.75424,2.69706,80.97263,2.87978
0.77075,1.89453,104.06860,-7.37359
0.78505,1.07753,53.81874,-0.03080
0.80338,1.32250,37.28408,-2.34581
0.81897,1.30952,9.09128,-0.69462
0.83405,2.22919,151.93150,2.60840
0.84824,1.24740,146.06960,10.70963
0.86246,1.22745,22.30433,-1.79259
0.87627,2.28422,170.91300,-6.27674
0.89020,1.54804,56.67814,2.96377
0.90518,0.95854,32.47078,-2.74019
0.92569,0.99867,48.52241,-3.01989
0.95012,1.57717,70.56514,-2.49175
0.96601,1.22868,42.23780,2.99293
0.97934,0.94788,35.57961,-3.00638
0.99284,0.98031,32.88781,-1.78792
1.01147,0.82432,11.74086,-0.50266
1.02624,1.37049,52.57616,3.72396
1.04088,0.50542,59.93238,0.59389
1.05608,0.58190,7.09490,-0.30296
1.07014,1.99392,107.45670,8.43193
1.08401,1.06356,73.17386,3.47816
1.09915,0.99881,25.87714,-2.18830
1.11359,0.72832,20.01602,0.49296
1.12838,1.30169,71.05917,5.69373
1.14387,1.47255,19.97382,1.08550
1.16930,1.85956,48.88335,1.19728
1.18593,0.79159,120.22330,10.08155
1.20196,0.50050,37.78584,3.20172
1.22006,2.98076,185.01690,0.33738
1.23716,1.85507,85.87809,-4.38900
1.25412,1.86697,55.38452,2.81673
1.26860,1.22945,71.90409,0.61328
1.28218,1.21227,34.12501,-2.87209
1.29704,1.23523,39.32592,-1.46516
1.31207,2.30913,93.26134,-4.04285
1.32794,1.17828,74.55345,1.75722
1.34373,1.22379,3.35658,0.27320
1.35924,0.99904,19.46238,1.65446
1.37613,1.27283,22.38736,1.91735
1.39262,0.97645,27.54988,1.79781
1.40891,3.01559,140.68790,9.15615
1.42429,1.07904,126.24860,-2.84107
1.43978,1.66644,43.88336,-1.70746
1.45581,0.86236,65.34877,-5.58136
1.47180,1.10075,23.04276,-0.75498
